clas_gt,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,joint_angles0,joint_angles1,joint_angles2,joint_angles3,joint_angles4,joint_angles5,joint_angles6,joint_angles7,joint_angles8,joint_angles9,joint_angles10,joint_angles11,joint_angles12,joint_angles13,joint_angles14
6,57,103,283,110,48,97,77,255,0.6028333902,0.1319003403,0.3695652187,0.3397655189,0.2051783055,0.4047386348,0.1319003403,0.4430874586,0.5691255331,0.2535417676,0.3844650686,0.5378602743,0.2970200181,0.3436736763,0.5534929037
6,77,111,276,122,48,100,84,263,0.6028333902,0.1319003403,0.361748904,0.3397655189,0.2051783055,0.4047386348,0.1319003403,0.4352711141,0.5691255331,0.2535417676,0.3844650686,0.5378602743,0.2970200181,0.3436736763,0.5625305176
6,98,118,282,134,52,92,89,271,0.6028333902,0.1319003403,0.361748904,0.3397655189,0.1968734711,0.4047386348,0.1319003403,0.4352711141,0.5691255331,0.2535417676,0.3844650686,0.5378602743,0.2970200181,0.3436736763,0.5625305176
6,118,133,256,119,51,60,117,219,0.6028333902,0.1319003403,0.361748904,0.3397655189,0.1968734711,0.4047386348,0.1319003403,0.4352711141,0.5610649586,0.2535417676,0.3844650686,0.5378602743,0.2970200181,0.3358573616,0.5705910921
6,74,141,290,127,46,45,204,166,0.6028333902,0.1319003403,0.361748904,0.3397655189,0.1968734711,0.4047386348,0.1319003403,0.4352711141,0.5610649586,0.2535417676,0.3844650686,0.5378602743,0.2970200181,0.3358573616,0.5705910921
6,49,167,443,141,43,37,61,64,0.6116267443,0.1240840256,0.361748904,0.3397655189,0.1968734711,0.4047386348,0.1319003403,0.4430874586,0.5610649586,0.2535417676,0.3930141628,0.5378602743,0.2970200181,0.3358573616,0.5705910921
6,52,177,560,173,40,37,39,48,0.6116267443,0.1240840256,0.361748904,0.3397655189,0.1968734711,0.4047386348,0.1319003403,0.4430874586,0.5610649586,0.2535417676,0.3930141628,0.5378602743,0.2970200181,0.3358573616,0.5705910921
6,52,180,543,164,40,36,32,42,0.6116267443,0.1240840256,0.361748904,0.3397655189,0.1968734711,0.4047386348,0.1319003403,0.451392293,0.5610649586,0.2535417676,0.3930141628,0.5378602743,0.2970200181,0.3358573616,0.5705910921
6,37,118,314,125,41,34,28,28,0.6116267443,0.1240840256,0.3778700531,0.3397655189,0.2144601792,0.4440644979,0.1480214894,0.4863214493,0.5610649586,0.2535417676,0.4008304775,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,93,114,267,110,59,48,33,51,0.6199315786,0.1321446002,0.3861748874,0.3397655189,0.2144601792,0.4733756781,0.1480214894,0.5021983385,0.5610649586,0.261846602,0.4093795717,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,105,116,332,141,62,50,32,50,0.6279922128,0.1321446002,0.3947239816,0.3397655189,0.2144601792,0.4892525673,0.1565705985,0.5021983385,0.5610649586,0.261846602,0.4174401462,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,88,139,491,203,64,48,30,37,0.6279922128,0.1321446002,0.4032730758,0.3397655189,0.2144601792,0.4978016615,0.1565705985,0.5021983385,0.5610649586,0.261846602,0.4174401462,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,48,124,460,212,68,43,30,26,0.6279922128,0.1321446002,0.4032730758,0.3397655189,0.2144601792,0.4978016615,0.1565705985,0.5021983385,0.5610649586,0.261846602,0.4174401462,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,36,156,176,126,67,43,31,27,0.6450904012,0.1321446002,0.4032730758,0.3397655189,0.2303370833,0.5061064959,0.1758671254,0.5021983385,0.5720566511,0.261846602,0.4257449806,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,34,135,188,109,59,37,32,28,0.6450904012,0.1321446002,0.4032730758,0.3397655189,0.2398632169,0.5061064959,0.1758671254,0.5021983385,0.5806057453,0.270639956,0.4257449806,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,50,120,187,165,81,50,52,51,0.654128015,0.1321446002,0.4032730758,0.3397655189,0.2484123111,0.5153883696,0.194186613,0.5021983385,0.5806057453,0.2789447904,0.4257449806,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,69,101,198,156,61,40,51,53,0.6624328494,0.1321446002,0.4220810831,0.3397655189,0.2650219798,0.542745471,0.2139716595,0.510258913,0.5806057453,0.2877381444,0.4257449806,0.5473864079,0.2970200181,0.3358573616,0.5705910921
6,68,96,200,136,49,34,34,44,0.6712262034,0.1321446002,0.4396678209,0.3397655189,0.2650219798,0.5630190372,0.232291162,0.5185637474,0.5806057453,0.2957987189,0.4257449806,0.5556912422,0.2970200181,0.3358573616,0.5705910921
6,90,116,224,125,69,37,46,52,0.6712262034,0.123595506,0.4396678209,0.3397655189,0.2650219798,0.57376647,0.232291162,0.5185637474,0.5806057453,0.2957987189,0.4257449806,0.5556912422,0.2970200181,0.3358573616,0.5705910921
6,79,151,400,164,79,52,42,48,0.6802638173,0.123595506,0.4579873085,0.3397655189,0.273571074,0.5823155642,0.232291162,0.5185637474,0.5806057453,0.2957987189,0.4335612953,0.5556912422,0.2970200181,0.3358573616,0.5705910921
6,81,154,421,152,71,52,35,49,0.6802638173,0.1157791913,0.466047883,0.3397655189,0.273571074,0.5823155642,0.2403517365,0.5185637474,0.5806057453,0.2957987189,0.4425989389,0.5556912422,0.2970200181,0.3358573616,0.5705910921
6,166,201,389,169,69,47,40,93,0.6678065658,0.1240840256,0.466047883,0.3397655189,0.273571074,0.5994137526,0.2403517365,0.5351734161,0.5806057453,0.2957987189,0.4582315683,0.5556912422,0.2970200181,0.3358573616,0.5705910921
6,139,227,271,138,61,46,49,72,0.620908618,0.1326331198,0.457254529,0.3317049444,0.273571074,0.6270151734,0.2403517365,0.5644845963,0.5806057453,0.2957987189,0.4836345911,0.5639960766,0.2970200181,0.3439179361,0.5705910921
6,142,172,217,127,56,52,60,89,0.620908618,0.1326331198,0.457254529,0.3317049444,0.273571074,0.6270151734,0.2403517365,0.5644845963,0.5806057453,0.2957987189,0.4836345911,0.5639960766,0.2970200181,0.3439179361,0.5620419979
6,159,144,231,140,75,56,53,88,0.6028333902,0.1409379542,0.448461175,0.3317049444,0.2813873887,0.6360527873,0.2576941848,0.5727894306,0.5806057453,0.2957987189,0.5002442598,0.5639960766,0.2970200181,0.3595505655,0.5620419979
6,129,125,177,115,74,57,38,54,0.6111382246,0.1409379542,0.448461175,0.3317049444,0.2813873887,0.6360527873,0.2576941848,0.5727894306,0.5806057453,0.2957987189,0.5080605745,0.5639960766,0.2970200181,0.3595505655,0.5620419979
6,64,90,183,86,61,53,40,56,0.6111382246,0.1409379542,0.4565217495,0.3317049444,0.2813873887,0.6360527873,0.2576941848,0.5727894306,0.5806057453,0.2957987189,0.5080605745,0.5639960766,0.2970200181,0.3595505655,0.5620419979
6,61,80,176,84,56,55,43,80,0.6111382246,0.1409379542,0.4565217495,0.3317049444,0.2813873887,0.6360527873,0.2576941848,0.5727894306,0.5806057453,0.2957987189,0.5080605745,0.5639960766,0.2970200181,0.3595505655,0.5620419979
6,46,110,208,66,48,55,43,94,0.619443059,0.1409379542,0.4565217495,0.3317049444,0.2813873887,0.6360527873,0.2576941848,0.5727894306,0.5806057453,0.2957987189,0.5080605745,0.5639960766,0.2970200181,0.3595505655,0.5620419979
6,55,139,390,84,55,65,42,152,0.619443059,0.1409379542,0.4565217495,0.3317049444,0.2813873887,0.6189545393,0.2493893504,0.5727894306,0.58842206,0.2957987189,0.4995114803,0.5639960766,0.2970200181,0.3517342508,0.5620419979
6,56,108,349,122,50,64,42,151,0.6116267443,0.1409379542,0.4479726553,0.3317049444,0.272105515,0.6028333902,0.2388861775,0.5647288561,0.58842206,0.2957987189,0.4826575518,0.5639960766,0.2970200181,0.3517342508,0.5620419979
6,49,144,411,115,62,235,102,127,0.6116267443,0.1409379542,0.4274547994,0.3395212591,0.2379091382,0.5254030228,0.1770884246,0.5146555901,0.58842206,0.2674645782,0.4267220199,0.5561797619,0.2970200181,0.3439179361,0.5620419979
6,57,133,485,184,51,181,87,172,0.6116267443,0.1409379542,0.4186614454,0.3395212591,0.2200781703,0.5173424482,0.1563263386,0.5046409369,0.58842206,0.2506106496,0.4186614454,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,80,134,471,169,60,161,68,97,0.6116267443,0.1331216395,0.4186614454,0.3395212591,0.211773321,0.5080605745,0.1380068362,0.4963361025,0.58842206,0.2425500751,0.4186614454,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,82,110,327,156,55,75,43,83,0.619443059,0.1331216395,0.4272105396,0.3395212591,0.211773321,0.5080605745,0.1380068362,0.4963361025,0.58842206,0.2425500751,0.4186614454,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,57,135,439,181,52,43,35,43,0.619443059,0.1331216395,0.4272105396,0.3395212591,0.211773321,0.5080605745,0.1380068362,0.4963361025,0.58842206,0.2425500751,0.4186614454,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,54,142,409,157,49,45,38,43,0.6275036931,0.1331216395,0.4474841356,0.3395212591,0.211773321,0.5158768892,0.1380068362,0.5051294565,0.58842206,0.2425500751,0.4186614454,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,46,178,491,198,52,48,36,39,0.6275036931,0.1331216395,0.4474841356,0.3395212591,0.211773321,0.5158768892,0.14704445,0.5051294565,0.58842206,0.2425500751,0.4186614454,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,57,172,321,171,71,55,32,39,0.6275036931,0.1331216395,0.45578897,0.3395212591,0.2210552096,0.5361504555,0.1585246772,0.5129457712,0.58842206,0.2506106496,0.4264777601,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,51,162,395,214,103,59,35,40,0.6275036931,0.1331216395,0.4736199379,0.3395212591,0.2210552096,0.5652173758,0.1682950705,0.5212506056,0.58842206,0.2586712241,0.4347825944,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,140,152,304,184,93,59,43,49,0.6275036931,0.1331216395,0.4826575518,0.3395212591,0.2296043038,0.5747435093,0.1761113852,0.5290669203,0.58842206,0.2586712241,0.4347825944,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,237,179,296,250,132,59,58,93,0.6355642676,0.1331216395,0.5168539286,0.3395212591,0.2379091382,0.5908646584,0.1946751326,0.5290669203,0.58842206,0.2667317986,0.4428431988,0.5561797619,0.2970200181,0.3358573616,0.5620419979
6,198,145,405,196,79,48,57,99,0.6533952355,0.1331216395,0.5249145031,0.3395212591,0.2459697127,0.5986809731,0.202979967,0.5290669203,0.58842206,0.2747923732,0.4511480331,0.5561797619,0.2970200181,0.3451392353,0.5620419979
6,57,160,444,174,60,40,30,32,0.6533952355,0.125061065,0.5249145031,0.3395212591,0.2459697127,0.5986809731,0.202979967,0.5371274948,0.58842206,0.2747923732,0.4511480331,0.5561797619,0.2970200181,0.3451392353,0.5620419979
6,72,219,199,153,88,57,40,43,0.6428920627,0.125061065,0.4872984886,0.3395212591,0.2550073266,0.5986809731,0.2112848014,0.5371274948,0.58842206,0.2826086879,0.4594528675,0.5561797619,0.2970200181,0.3451392353,0.5620419979
6,75,160,166,131,80,65,53,38,0.6243282557,0.1333658993,0.4506595135,0.3395212591,0.2892037034,0.6079628468,0.2447484136,0.5542256832,0.58842206,0.2916463017,0.4760625362,0.5561797619,0.2970200181,0.3451392353,0.5620419979
6,85,188,174,181,79,52,45,47,0.6243282557,0.1333658993,0.4506595135,0.3395212591,0.2892037034,0.6079628468,0.2525647283,0.5542256832,0.58842206,0.2916463017,0.4760625362,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,68,138,131,237,76,54,43,47,0.6160234213,0.1414264739,0.4506595135,0.3395212591,0.2970200181,0.616511941,0.2616023421,0.5542256832,0.58842206,0.2916463017,0.4760625362,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,82,145,101,214,96,48,42,48,0.6160234213,0.1414264739,0.4692232609,0.3395212591,0.3055691123,0.6250610948,0.2616023421,0.5625305176,0.58842206,0.2916463017,0.4841231108,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,51,90,98,92,60,72,44,53,0.6245725155,0.1414264739,0.4868099689,0.3395212591,0.3055691123,0.6250610948,0.2699071765,0.5703468323,0.58842206,0.2994626164,0.4934049845,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,46,89,111,81,55,105,60,105,0.6323888898,0.1336101592,0.4868099689,0.3395212591,0.3055691123,0.6250610948,0.2699071765,0.5703468323,0.58842206,0.2994626164,0.4934049845,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,45,87,111,65,42,114,65,112,0.6323888898,0.1336101592,0.4868099689,0.3395212591,0.3055691123,0.6250610948,0.2699071765,0.5703468323,0.58842206,0.2994626164,0.4934049845,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,48,89,76,37,43,95,55,98,0.623839736,0.1336101592,0.4680019617,0.3395212591,0.2977527976,0.6162676811,0.2537860274,0.5625305176,0.58842206,0.2994626164,0.4848558903,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,76,136,117,43,50,168,104,267,0.5788959265,0.1436248124,0.4347825944,0.3395212591,0.2596482635,0.579628706,0.2083536834,0.5444552898,0.58842206,0.2784562707,0.4582315683,0.5644845963,0.2970200181,0.3451392353,0.5620419979
6,80,160,307,63,52,171,97,293,0.5788959265,0.1519296467,0.4347825944,0.3395212591,0.2596482635,0.5715681314,0.1968734711,0.5444552898,0.58842206,0.2784562707,0.4582315683,0.5644845963,0.2970200181,0.3361016214,0.5620419979
6,72,110,319,61,40,140,96,194,0.5788959265,0.1519296467,0.4259892404,0.3395212591,0.2427943349,0.5613092184,0.1758671254,0.5363947153,0.58842206,0.2584269643,0.4494382143,0.5644845963,0.2970200181,0.3361016214,0.5620419979
6,152,129,243,71,62,108,70,158,0.5788959265,0.1519296467,0.4181729257,0.3395212591,0.226428926,0.5434782505,0.1577918977,0.5280898809,0.58842206,0.2584269643,0.4328285158,0.5644845963,0.2970200181,0.3275525272,0.5698583126
6,107,83,222,75,55,95,59,87,0.5872007608,0.1519296467,0.4272105396,0.3395212591,0.226428926,0.5434782505,0.1577918977,0.5280898809,0.58842206,0.2584269643,0.4328285158,0.5644845963,0.2970200181,0.3275525272,0.5698583126
6,78,135,378,91,49,181,104,282,0.5872007608,0.1519296467,0.4272105396,0.3395212591,0.226428926,0.5434782505,0.1577918977,0.5280898809,0.58842206,0.2584269643,0.4328285158,0.5644845963,0.2970200181,0.3275525272,0.5698583126
6,61,128,248,75,51,156,84,271,0.5950170755,0.1433805525,0.4272105396,0.3395212591,0.2181240767,0.5061064959,0.1563263386,0.510258913,0.58842206,0.2584269643,0.4233023822,0.5644845963,0.2970200181,0.3275525272,0.578163147
6,94,130,233,92,54,201,123,379,0.6030776501,0.1433805525,0.4272105396,0.3395212591,0.208842203,0.4789936543,0.136785537,0.4819247723,0.58842206,0.2501221299,0.4137762487,0.5644845963,0.2970200181,0.3197362125,0.578163147
6,89,132,229,92,52,175,100,311,0.6030776501,0.1433805525,0.4189057052,0.3395212591,0.1929653138,0.4516365528,0.1267708838,0.4640938044,0.58842206,0.2501221299,0.4054714143,0.5644845963,0.2970200181,0.3197362125,0.5862237215
6,89,107,189,89,50,221,106,318,0.6030776501,0.1433805525,0.4098680913,0.3395212591,0.1929653138,0.4435759783,0.1267708838,0.4555447102,0.58842206,0.2501221299,0.4054714143,0.5644845963,0.2970200181,0.3197362125,0.5947728157
6,99,114,271,112,46,199,105,377,0.6030776501,0.1433805525,0.4098680913,0.3395212591,0.1929653138,0.4435759783,0.1267708838,0.4555447102,0.58842206,0.2501221299,0.4054714143,0.5644845963,0.2970200181,0.3197362125,0.5947728157
6,74,136,410,168,53,116,84,291,0.6030776501,0.1433805525,0.4098680913,0.3395212591,0.1761113852,0.4435759783,0.1174890101,0.4555447102,0.58842206,0.2501221299,0.4054714143,0.5644845963,0.2970200181,0.3197362125,0.6028333902
6,166,234,605,229,57,130,138,388,0.6030776501,0.1433805525,0.4098680913,0.3395212591,0.1761113852,0.4347825944,0.1086956486,0.4555447102,0.58842206,0.2501221299,0.4054714143,0.5644845963,0.2970200181,0.3197362125,0.6028333902
6,256,450,498,187,62,90,120,373,0.6030776501,0.1355642378,0.4098680913,0.3395212591,0.1761113852,0.4137762487,0.1006350741,0.4474841356,0.5806057453,0.2501221299,0.4054714143,0.5644845963,0.2970200181,0.3197362125,0.6028333902
6,150,334,424,154,47,115,106,286,0.6030776501,0.1355642378,0.3927699029,0.3395212591,0.1680508107,0.3959452808,0.1096726954,0.414753288,0.5219833851,0.2501221299,0.3966780603,0.5644845963,0.2970200181,0.3033707738,0.6030776501
6,129,227,565,179,51,106,98,305,0.6030776501,0.1355642378,0.3927699029,0.3395212591,0.1680508107,0.3959452808,0.1096726954,0.414753288,0.5219833851,0.2501221299,0.3966780603,0.5644845963,0.2970200181,0.3033707738,0.6030776501
6,145,234,500,170,43,81,100,335,0.6030776501,0.1355642378,0.3927699029,0.3395212591,0.1680508107,0.4052271545,0.1189545691,0.414753288,0.5219833851,0.2501221299,0.3966780603,0.5732779503,0.2970200181,0.3033707738,0.6030776501
6,144,211,648,223,62,92,76,248,0.6030776501,0.1355642378,0.3927699029,0.3395212591,0.1597459763,0.4230581224,0.1189545691,0.4316072166,0.5219833851,0.2501221299,0.4049828947,0.5732779503,0.2970200181,0.3033707738,0.6030776501
6,63,158,564,193,55,57,50,192,0.6030776501,0.1277479231,0.4008304775,0.3395212591,0.1597459763,0.457254529,0.1108939946,0.4416218996,0.5219833851,0.2501221299,0.4127992094,0.5732779503,0.2970200181,0.3033707738,0.6111382246
6,80,143,427,141,45,40,38,146,0.6030776501,0.1277479231,0.4101123512,0.3395212591,0.1597459763,0.4662921429,0.1108939946,0.4494382143,0.5219833851,0.2501221299,0.4206155241,0.5732779503,0.2970200181,0.3033707738,0.6111382246
6,86,173,732,236,54,50,41,94,0.6030776501,0.1277479231,0.4189057052,0.3395212591,0.1687835902,0.4753297567,0.1108939946,0.4650708437,0.5219833851,0.2420615554,0.4284318388,0.5644845963,0.2970200181,0.3033707738,0.6018563509
6,90,156,600,226,60,48,38,126,0.6030776501,0.1277479231,0.4269662797,0.3395212591,0.1863702983,0.5026868582,0.1108939946,0.4863214493,0.5351734161,0.2420615554,0.4284318388,0.5644845963,0.2970200181,0.3033707738,0.5940400362
6,84,123,537,186,49,39,35,141,0.6030776501,0.1277479231,0.4269662797,0.3395212591,0.1863702983,0.5026868582,0.1108939946,0.4863214493,0.5351734161,0.2420615554,0.4284318388,0.5644845963,0.2970200181,0.3033707738,0.5940400362
6,115,149,447,151,61,53,39,60,0.6030776501,0.1277479231,0.4526135921,0.3395212591,0.1944308728,0.5627747774,0.1194430888,0.5153883696,0.553004384,0.2420615554,0.4284318388,0.5644845963,0.2970200181,0.3116756082,0.5940400362
6,69,136,504,148,60,47,32,45,0.6118710041,0.1277479231,0.468979001,0.3395212591,0.1944308728,0.5815827847,0.1194430888,0.5153883696,0.553004384,0.2508549094,0.436980933,0.5644845963,0.2970200181,0.3199804723,0.5940400362
6,46,115,467,137,56,40,32,38,0.6196873188,0.1277479231,0.468979001,0.3395212591,0.1944308728,0.5815827847,0.1282364428,0.5234489441,0.5608206987,0.2508549094,0.436980933,0.5644845963,0.2970200181,0.3199804723,0.5940400362
6,87,162,532,248,106,57,47,48,0.6196873188,0.1277479231,0.4770395756,0.3395212591,0.2112848014,0.5903761387,0.1453346312,0.5334635973,0.5769418478,0.2508549094,0.436980933,0.5644845963,0.2970200181,0.3282853067,0.5940400362
6,124,187,393,175,96,52,69,54,0.6196873188,0.1277479231,0.4770395756,0.3395212591,0.229360044,0.6082071066,0.1651196927,0.5503175259,0.5769418478,0.2586712241,0.4550561905,0.5644845963,0.2970200181,0.3282853067,0.5847581625
6,109,160,315,248,124,60,67,60,0.6287249923,0.1277479231,0.5021983385,0.3395212591,0.2467024922,0.6245725155,0.1922325343,0.5581338406,0.585490942,0.2672203183,0.4716658592,0.5644845963,0.2970200181,0.3363458812,0.5769418478
6,65,183,232,193,105,46,34,40,0.6377626061,0.1277479231,0.5112359524,0.3395212591,0.2547630668,0.6245725155,0.2007816285,0.5581338406,0.585490942,0.2752808928,0.4797264338,0.5644845963,0.2970200181,0.3448949754,0.5769418478
6,67,165,206,189,104,51,42,40,0.6377626061,0.1277479231,0.5112359524,0.3395212591,0.2650219798,0.6245725155,0.210307762,0.5581338406,0.585490942,0.2752808928,0.4797264338,0.5644845963,0.2970200181,0.3448949754,0.5769418478
6,148,179,251,270,120,52,54,59,0.6377626061,0.1277479231,0.5190522671,0.3395212591,0.2650219798,0.6323888898,0.210307762,0.5581338406,0.585490942,0.2752808928,0.4797264338,0.5644845963,0.2970200181,0.3448949754,0.5691255331
6,130,173,215,322,142,58,65,52,0.6377626061,0.1277479231,0.5190522671,0.3395212591,0.2826086879,0.6323888898,0.2291157842,0.5581338406,0.585490942,0.2752808928,0.4797264338,0.5644845963,0.2970200181,0.3448949754,0.5691255331
